64: Gate(gate_type='xx_plus_yy', qubits=(10, 9), theta=np.float64(1.5707963267948966), beta=0.0)
65: Gate(gate_type='phase', qubits=(9,), theta=np.float64(1.5707963267948966), beta=0.0)
66: Gate(gate_type='phase', qubits=(0,), theta=np.float64(-1.570796326794886), beta=0.0)
67: Gate(gate_type='xx_plus_yy', qubits=(1, 0), theta=np.float64(0.04936398272592827), beta=0.0)
68: Gate(gate_type='phase', qubits=(0,), theta=np.float64(1.570796326794886), beta=0.0)
69: Gate(gate_type='phase', qubits=(8,), theta=np.float64(-1.570796326794886), beta=0.0)
70: Gate(gate_type='xx_plus_yy', qubits=(9, 8), theta=np.float64(0.04936398272592827), beta=0.0)
71: Gate(gate_type='phase', qubits=(8,), theta=np.float64(1.570796326794886), beta=0.0)
72: Gate(gate_type='phase', qubits=(7,), theta=np.float64(-1.5707963267948966), beta=0.0)
73: Gate(gate_type='xx_plus_yy', qubits=(6, 7), theta=np.float64(0.1620914481391865), beta=0.0)
74: Gate(gate_type='phase', qubits=(7,), theta=np.float64(1.5707963267948966), beta=0.0)
75: Gate(gate_type='phase', qubits=(15,), theta=np.float64(-1.5707963267948966), beta=0.0)
76: Gate(gate_type='xx_plus_yy', qubits=(14, 15), theta=np.float64(0.1620914481391865), beta=0.0)
77: Gate(gate_type='phase', qubits=(15,), theta=np.float64(1.5707963267948966), beta=0.0)
78: Gate(gate_type='phase', qubits=(6,), theta=np.float64(1.5707963267948966), beta=0.0)
79: Gate(gate_type='xx_plus_yy', qubits=(5, 6), theta=np.float64(1.5707963267948966), beta=0.0)
80: Gate(gate_type='phase', qubits=(6,), theta=np.float64(-1.5707963267948966), beta=0.0)
81: Gate(gate_type='phase', qubits=(14,), theta=np.float64(1.5707963267948966), beta=0.0)
82: Gate(gate_type='xx_plus_yy', qubits=(13, 14), theta=np.float64(1.5707963267948966), beta=0.0)
83: Gate(gate_type='phase', qubits=(14,), theta=np.float64(-1.5707963267948966), beta=0.0)
